,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kaeo,100.0,NZ,2019-08-24 14:26:31,100.0,-35.1,173.78,51.00800000000001,1.006623
1,port alfred,0.0,ZA,2019-08-24 14:26:31,78.0,-33.59,26.89,64.00400000000005,1.9908766000000002
2,praia da vitoria,20.0,PT,2019-08-24 14:26:32,69.0,38.73,-27.07,73.4,12.862405
3,khatanga,69.0,RU,2019-08-24 14:26:32,93.0,71.98,102.47,50.352800000000045,7.806920600000001
4,rovaniemi,20.0,FI,2019-08-24 14:26:32,76.0,66.5,25.72,51.8,5.816044000000001
5,jamestown,0.0,AU,2019-08-24 14:22:01,95.0,-33.21,138.6,38.29280000000007,5.0554844
6,tuktoyaktuk,90.0,CA,2019-08-24 14:26:32,93.0,69.44,-133.03,39.2,17.224438000000003
7,atherton,90.0,AU,2019-08-24 14:23:43,82.0,-17.27,145.48,64.4,10.289924
8,kodiak,75.0,US,2019-08-24 14:26:33,61.0,39.95,-94.76,78.00800000000001,14.987498000000002
9,alofi,6.0,NU,2019-08-24 14:26:33,83.0,-19.06,-169.92,78.80000000000001,5.816044000000001
10,atuona,53.0,PF,2019-08-24 14:26:33,74.0,-9.8,-139.03,78.4328000000001,13.980875000000001
11,dikson,83.0,RU,2019-08-24 14:26:34,97.0,73.51,80.55,41.17280000000001,12.7058192
12,harper,1.0,US,2019-08-24 14:26:34,55.0,30.3,-99.24,93.00200000000008,4.697574
13,ginir,19.0,ET,2019-08-24 14:26:34,82.0,7.14,40.71,61.69280000000007,4.9883762
14,shimoda,98.0,JP,2019-08-24 14:26:34,3.0,34.7,138.93,75.99199999999999,10.7596814
15,whitehorse,90.0,CA,2019-08-24 14:26:35,87.0,60.72,-135.06,48.00200000000008,8.052984
16,hasaki,75.0,JP,2019-08-24 14:26:35,94.0,35.73,140.83,73.4,5.816044000000001
